ALDH1A1	00001	NP_000680.2	ALDH1A1	00001	NP_000680.2	in vivo;yeast 2-hybrid	12081471,16189514
MST1R	02545	NP_002438.2	YES1	01285	NP_005424.1	in vitro;in vivo	8918464
ERBB4	02767	NP_005226.1	CD44	00115	NP_000601.3	in vitro;in vivo	11825873
TYRO3	02641	NP_006284.2	YES1	01285	NP_005424.1	in vivo	7537495
ADAM12	04092	NP_003465.3	YES1	01285	NP_005424.1	in vitro;in vivo	11127814
NPHS1	04094	NP_004637.1	YES1	01285	NP_005424.1	in vivo	12846735
OCLN	04191	NP_002529.1	YES1	01285	NP_005424.1	in vivo	11950934
DLG4	04199	NP_001356.1	YES1	01285	NP_005424.1	in vivo	9892651
CD2AP	05026	NP_036252.1	YES1	01285	NP_005424.1	in vitro	10339567
TRPV4	05667	NP_067638.3	YES1	01285	NP_005424.1	in vitro;in vivo	12538589
SMURF2	06901	NP_073576.1	SF3A2	02877	NP_009096.2	yeast 2-hybrid	15231748
GP6	10406	BAB12247.1	YES1	01285	NP_005424.1	in vivo	1715582
TP53BP2	11803	NP_001026855.2	YES1	01285	NP_005424.1	in vivo	11278422
TIAM1	02820	NP_003244.2	CD44	00115	NP_000601.3	in vitro;in vivo	10636882
SP1	01796	NP_612482.2	REL	01286	NP_002899.1	in vitro	7933095
ELF1	01808	NP_758961.1	REL	01286	NP_002899.1	in vitro	7862168
SMURF2	06901	NP_073576.1	ACOX3	04552	NP_003492.2	yeast 2-hybrid	15231748
SMURF2	06901	NP_073576.1	RNF111	09318	NP_060080.6	yeast 2-hybrid	15231748
NKRF	02341	NP_060014.2	REL	01286	NP_002899.1	in vitro	10562553
TBP	02511	NP_003185.1	REL	01286	NP_002899.1	in vitro	8413269
SMURF2	06901	NP_073576.1	TMEM139	08298	NP_699176.1	yeast 2-hybrid	15231748
SMURF2	06901	NP_073576.1	LAPTM5	03280	NP_006753.1	yeast 2-hybrid	15231748
MAPK8	03100	NP_620637.1	REL	01286	NP_002899.1	in vivo;yeast 2-hybrid	8621542
SMURF2	06901	NP_073576.1	SNRNP70	01617	NP_003080.2	yeast 2-hybrid	15231748
DMP1	02989	NP_004398.1	CD44	00115	NP_000601.3	in vitro	11825898
PPP4C	03615	NP_002711.1	REL	01286	NP_002899.1	in vitro;in vivo;yeast 2-hybrid	9837938
NUP155	05984	NP_705618.1	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
SUMF2	06400	NP_001123541.1	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
ETS2	01263	NP_005230.1	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
SMAD7	04241	NP_005895.1	ZNF107	18669	NP_001013768.1	yeast 2-hybrid	15231748
SMAD7	04241	NP_005895.1	ZBTB44	13692	NP_054874.3	yeast 2-hybrid	15231748
SMAD7	04241	NP_005895.1	TTF2	05280	NP_003585.3	yeast 2-hybrid	15231748
HSPA8	07205	NP_006588.1	REL	01286	NP_002899.1	in vitro	2155506
SMAD7	04241	NP_005895.1	MYOD1	01166	NP_002469.2	yeast 2-hybrid	15231748
GTF2B	08928	NP_001505.1	REL	01286	NP_002899.1	in vitro	8413269
ARHGEF1	03511	NP_945353.1	CD44	00115	NP_000601.3	in vivo	12748184
SMAD7	04241	NP_005895.1	SOX5	18086	NP_008871.3	yeast 2-hybrid	15231748
SMAD7	04241	NP_005895.1	ASH1L	06416	NP_060959.2	yeast 2-hybrid	15231748
SMAD7	04241	NP_005895.1	ZBTB11	15690	NP_055230.2	yeast 2-hybrid	15231748
REL	01286	NP_002899.1	CALM1	00241	NP_008819.1	in vitro	12556500
SMAD7	04241	NP_005895.1	SOX13	09205	AAC83687.1	yeast 2-hybrid	15231748
KIT	01287	NP_000213.1	KIT	01287	NP_000213.1	in vitro	10377264,9799234
LYN	01301	NP_002341.1	KIT	01287	NP_000213.1	in vitro;in vivo	9341198
PIK3R1	01381	NP_852664.1	KIT	01287	NP_000213.1	in vitro;in vivo	7509796
PLCG1	01398	NP_002651.2	KIT	01287	NP_000213.1	in vivo	7536744
PTPN11	01470	NP_002825.3	KIT	01287	NP_000213.1	in vitro;in vivo	7523381,9528781
LGALS13	16375	NP_037400.1	ACTG1	00017	NP_001605.1	in vitro	15009185
NF2	06980	NP_000259.1	CD44	00115	NP_000601.3	in vitro;in vivo	12356905
PTPN6	01475	NP_536859.1	KIT	01287	NP_000213.1	in vitro;in vivo	7684496,9528781
PRKCA	01498	NP_002728.1	KIT	01287	NP_000213.1	in vitro;in vivo	7539802
KITLG	01698	NP_000890.1	KIT	01287	NP_000213.1	in vitro;in vivo	1375232,7680037
SRC	01819	NP_005408.1	KIT	01287	NP_000213.1	in vitro	12878163
MATK	02496	NP_002369.2	KIT	01287	NP_000213.1	in vitro	9038210,7536744
KIT	01287	NP_000213.1	STAT1	02777	NP_009330.1	in vivo	9355737
PTPRO	02784	NP_109592.1	KIT	01287	NP_000213.1	in vivo	10397721
TEC	02786	NP_003206.2	KIT	01287	NP_000213.1	in vitro;in vivo	7526158
GRB7	03311	NP_005301.2	KIT	01287	NP_000213.1	in vitro;in vivo	10377264
GRB10	03312	NP_005302.3	KIT	01287	NP_000213.1	in vitro;in vivo;yeast 2-hybrid	11809791
FCGR3A	00903	NP_000560.5	CD38	00116	NP_001766.2	in vitro	11895784
CRKL	03596	NP_005198.1	KIT	01287	NP_000213.1	in vivo	9092574
DOK1	04228	NP_001372.1	KIT	01287	NP_000213.1	in vitro;in vivo	11825908
PIK3R2	04404	NP_005018.1	KIT	01287	NP_000213.1	in vitro;in vivo	7537096
SOCS1	04669	NP_003736.1	KIT	01287	NP_000213.1	in vivo	10022833
GRAP	05062	NP_006604.1	KIT	01287	NP_000213.1	in vitro;in vivo	8647802
GRAP2	05156	NP_004801.1	KIT	01287	NP_000213.1	in vitro	9872323
SH2B3	05480	NP_005466.1	KIT	01287	NP_000213.1	in vitro	11805142
CD81	08924	NP_004347.1	KIT	01287	NP_000213.1	in vivo	12036870
MPDZ	09155	NP_003820.2	KIT	01287	NP_000213.1	in vitro;yeast 2-hybrid	11018522
SPRED1	11601	NP_689807.1	KIT	01287	NP_000213.1	in vitro	12646235
LCK	01080	NP_005347.3	CD38	00116	NP_001766.2	in vitro;in vivo	10636863
STAP1	16053	NP_036240.1	KIT	01287	NP_000213.1	in vitro;in vivo;yeast 2-hybrid	10679268
SH2B2	16097	NP_066189.3	KIT	01287	NP_000213.1	in vitro	10872802
SPRED2	18100	NP_861449.2	KIT	01287	NP_000213.1	in vivo	14981116,12646235
FGR	01288	NP_005239.1	FGR	01288	NP_005239.1	in vitro;in vivo	7515063
CBL	01320	NP_005179.2	FGR	01288	NP_005239.1	in vivo	12435267,7721825
FGR	01288	NP_005239.1	SRC	01819	NP_005408.1	in vitro	12468645,12387813,7678701,9208935
WAS	02314	NP_000368.1	FGR	01288	NP_005239.1	in vitro;in vivo	8824280,10358777,7565724
CD24	02510	NP_037362.1	FGR	01288	NP_005239.1	in vivo	8753773
SYK	02514	NP_003168.2	FGR	01288	NP_005239.1	in vitro;in vivo	11672534
PTK2	02859	NP_005598.3	FGR	01288	NP_005239.1	in vivo	12387730
PECAM1	01425	NP_000433.3	CD38	00116	NP_001766.2	in vitro	9551996
DAB2	03139	NP_001334.2	FGR	01288	NP_005239.1	in vitro	12473651
CCR3	03167	NP_001828.1	FGR	01288	NP_005239.1	in vivo	10527858
FGR	01288	NP_005239.1	HCLS1	03199	NP_005326.2	in vitro;in vivo	10066823
SLAMF1	04603	NP_003028.1	FGR	01288	NP_005239.1	in vitro;in vivo	10229804
INPP5D	09033	NP_001017915.1	FGR	01288	NP_005239.1	in vivo	10229804
EBNA1BP2	16849	NP_006815.2	FGF3	01289	NP_005238.1	in vitro;in vivo;yeast 2-hybrid	11438656
DLL4	05540	NP_061947.1	NOTCH4	01290	NP_004548.3	in vitro;in vivo	12814948
MAML1	05665	NP_055572.1	NOTCH4	01290	NP_004548.3	in vitro;in vivo;yeast 2-hybrid	11101851,11585921
FBXW7	05888	NP_361014.1	NOTCH4	01290	NP_004548.3	in vivo	11585921
INS	01455	NP_000198.1	NOV	01291	NP_002505.1	in vitro	10084601
CD4	01740	NP_000607.1	CD38	00116	NP_001766.2	in vitro	7539755
NOTCH1	01827	NP_060087.3	NOV	01291	NP_002505.1	in vivo	12050162
DLL1	05957	NP_005609.3	NOV	01291	NP_002505.1	in vitro;in vivo	12050162
S100A4	15914	NP_002952.1	NOV	01291	NP_002505.1	in vitro;in vivo;yeast 2-hybrid	12147716,14606958
NFATC1	02729	NP_765975.1	PIM1	01292	NP_002639.1	in vitro;in vivo	11823475
PTPRO	02784	NP_109592.1	PIM1	01292	NP_002639.1	in vitro;in vivo	11368509
SND1	03714	AAP88787.1	PIM1	01292	NP_002639.1	in vitro;in vivo;yeast 2-hybrid	9809063
CBX3	05130	NP_057671.2	PIM1	01292	NP_002639.1	in vitro;in vivo;yeast 2-hybrid	10664448
CBX1	05149	NP_006798.1	PIM1	01292	NP_002639.1	in vitro;in vivo	12111331
NHEJ1	07784	NP_079058.1	NHEJ1	07784	NP_079058.1	in vivo	16439205
FZD5	03427	NP_003459.2	WNT5A	01293	NP_003383.2	in vivo	9054360
C9	00408	NP_001728.1	CD59	00117	NP_000602.1	in vitro	7523406,1377690
ROR2	03822	NP_004551.2	WNT5A	01293	NP_003383.2	in vitro	12839624
FZD1	04558	NP_003496.1	WNT5A	01293	NP_003383.2	in vivo	10557084
PTPN6	01475	NP_536859.1	ROS1	01295	NP_002935.2	in vivo;yeast 2-hybrid	11266449
ABL1	01809	NP_009297.2	ROS1	01295	NP_002935.2	yeast 2-hybrid	11266449
VAV3	05706	NP_006104.4	ROS1	01295	NP_002935.2	in vivo;yeast 2-hybrid	11094073
GDI2	02863	NP_001485.2	RAB8A	01296	NP_005361.2	in vitro	10512627
OPTN	03891	NP_068815.2	RAB8A	01296	NP_005361.2	yeast 2-hybrid	11137014
MAP4K2	04408	NP_004570.2	RAB8A	01296	NP_005361.2	in vivo	8643544
RPH3AL	05345	NP_008918.1	RAB8A	01296	NP_005361.2	in vivo	12578829
C8A	00409	NP_000553.1	CD59	00117	NP_000602.1	in vitro	7544344
SYTL4	06735	NP_542775.2	RAB8A	01296	NP_005361.2	in vitro;in vivo	11773082
RIMS2	09436	NP_001093587.1	RAB8A	01296	NP_005361.2	in vitro	12578829
RPH3A	15273	NP_001137326.1	RAB8A	01296	NP_005361.2	in vitro	12578829
FLT1	01297	NP_002010.2	FLT1	01297	NP_002010.2	in vitro;in vivo	11513746
KDR	01867	NP_002244.1	FLT1	01297	NP_002010.2	in vivo	10865839
VEGFA	01889	NP_001020537.2	FLT1	01297	NP_002010.2	in vitro;in vivo	8621427,17051153,9393862
PLCG2	02570	AAH11772.1	FLT1	01297	NP_002010.2	in vitro;yeast 2-hybrid	9398617
SHC1	02780	NP_001123512.1	FLT1	01297	NP_002010.2	in vitro;in vivo;yeast 2-hybrid	10749680
PGF	03076	NP_002623.2	FLT1	01297	NP_002010.2	in vitro	9452434,14684734
VEGFB	03237	NP_003368.1	FLT1	01297	NP_002010.2	in vivo	9751730
GNAI3	00765	NP_006487.1	CD59	00117	NP_000602.1	in vitro;in vivo	8650218
ATR	08369	NP_001175.2	FLT1	01297	NP_002010.2	in vitro;in vivo;yeast 2-hybrid	10749680
ERG	01298	NP_001129626.1	ERG	01298	NP_001129626.1	in vitro;in vivo	9681824
SPI1	01305	NP_001074016.1	ERG	01298	NP_001129626.1	in vitro	9681824
FLI1	01901	NP_002008.2	ERG	01298	NP_001129626.1	in vitro	9681824
ETV1	02765	NP_004947.2	ERG	01298	NP_001129626.1	in vitro	9681824
SETDB1	06828	NP_001138887.1	ERG	01298	NP_001129626.1	in vitro;in vivo;yeast 2-hybrid	11791185
SMAD7	04241	NP_005895.1	TTF1	02866	NP_031370.2	yeast 2-hybrid	15231748
SOS1	01681	NP_005624.2	RRAS	01299	NP_006261.1	in vivo	11560935
ARAF	02405	NP_001645.1	RRAS	01299	NP_006261.1	in vitro;yeast 2-hybrid	10848612
NCK1	02740	NP_006144.1	RRAS	01299	NP_006261.1	in vivo;yeast 2-hybrid	10671570
CD9	00880	NP_001760.1	CD59	00117	NP_000602.1	in vitro	1377690
EPHB2	02997	NP_004433.2	RRAS	01299	NP_006261.1	in vitro	10570155
RALGDS	03371	NP_006257.1	RRAS	01299	NP_006261.1	in vitro;yeast 2-hybrid	7809086
RASSF5	06117	NP_872604.1	RRAS	01299	NP_006261.1	in vitro;in vivo	11857081
NAV2	07385	NP_892009.3	RRAS	01299	NP_006261.1	in vitro	15031288
RASIP1	15214	NP_060275.2	RRAS	01299	NP_006261.1	in vitro;yeast 2-hybrid	15031288
COL4A5	02363	NP_203699.1	OSM	01300	NP_065391.1	in vitro	11711546
COL4A6	02364	NP_001838.2	OSM	01300	NP_065391.1	in vitro	11711546
IL6ST	02824	NP_002175.2	OSM	01300	NP_065391.1	in vitro	8999038,16051226
OSMR	03446	NP_003990.1	OSM	01300	NP_065391.1	in vitro;in vivo	10997905,8999038
CD2	01750	AAA51946.1	CD59	00117	NP_000602.1	in vitro	1377404
LYN	01301	NP_002341.1	LYN	01301	NP_002341.1	in vitro;in vivo	11943772,9171348,11744621
CBL	01320	NP_005179.2	LYN	01301	NP_002341.1	in vivo;yeast 2-hybrid	12149655,8621719
LYN	01301	NP_002341.1	PLCG1	01398	NP_002651.2	in vitro;in vivo	10586033,8885868,8657103,1689310,7682059,15144186
PECAM1	01425	NP_000433.3	LYN	01301	NP_002341.1	in vitro;in vivo	10858437
CD36	01430	NP_000063.2	LYN	01301	NP_002341.1	in vivo	1715582
PTPN6	01475	NP_536859.1	LYN	01301	NP_002341.1	in vitro;in vivo	10574931,11042209,12468540,8114715,8692915,10488096
TYK2	01490	NP_003322.3	LYN	01301	NP_002341.1	in vitro	9633884
LYN	01301	NP_002341.1	PRKCD	01501	NP_006245.2	in vitro	10945993,7575560
LYN	01301	NP_002341.1	BTK	02248	NP_000052.1	in vitro;in vivo	8058772,11226282,11598012,8629002,8630736
GRIA3	02378	NP_000819.3	LYN	01301	NP_002341.1	in vivo	9892356
DSTN	16446	NP_006861.1	ACTG1	00017	NP_001605.1	in vitro	8399167
SRC	01819	NP_005408.1	CD59	00117	NP_000602.1	in vivo	12219031
MATK	02496	NP_002369.2	LYN	01301	NP_002341.1	in vitro;in vivo	9171348,1722201
CD24	02510	NP_037362.1	LYN	01301	NP_002341.1	in vivo	8753773
LYN	01301	NP_002341.1	SYK	02514	NP_003168.2	in vitro;in vivo	7831290,11536198,8621719,9820500
PDE4A	02527	NP_001104777.1	LYN	01301	NP_002341.1	in vitro	10206997,12810716
LYN	01301	NP_002341.1	PLCG2	02570	AAH11772.1	in vitro	12181444,7682059,15144186
PRKCQ	02710	NP_006248.1	LYN	01301	NP_002341.1	in vivo	11358993
SHC1	02780	NP_001123512.1	LYN	01301	NP_002341.1	in vitro	7650013
CASP3	02799	NP_004337.2	LYN	01301	NP_002341.1	in vitro;in vivo	11526478
HNRNPK	02834	NP_002131.2	LYN	01301	NP_002341.1	in vitro	7516469
PTK2	02859	NP_005598.3	LYN	01301	NP_002341.1	in vivo	11389892
SLC6A8	02073	NP_005620.1	CD59	00117	NP_000602.1	in vivo	12219031
PRKDC	02941	NP_008835.5	LYN	01301	NP_002341.1	in vitro	9748231
PTK2B	03131	NP_004094.3	LYN	01301	NP_002341.1	in vivo	11311138
PIK3CG	03135	NP_002640.2	LYN	01301	NP_002341.1	in vivo	10318860
LYN	01301	NP_002341.1	HCLS1	03199	NP_005326.2	in vitro;in vivo	7682714,9104825,10066823
LCP2	03362	NP_005556.1	LYN	01301	NP_002341.1	in vitro;in vivo	10026222
MAPK3	03479	NP_002737.2	LYN	01301	NP_002341.1	in vivo	11131153
LYN	01301	NP_002341.1	MAP4K1	03583	NP_009112.1	in vitro	11514608
KHDRBS1	03926	NP_006550.1	LYN	01301	NP_002341.1	in vitro	7516469
LYN	01301	NP_002341.1	RGS16	03945	NP_002919.3	in vitro;in vivo	12588871,11602604
UBXN11	10245	NP_892120.2	ZFYVE9	04782	NP_004790.2	yeast 2-hybrid	15231748
NCR1	05167	NP_004820.1	CD59	00117	NP_000602.1	in vivo	14635045
LYN	01301	NP_002341.1	PPP1R8	04028	NP_054829.2	in vitro	11104670
NPHS1	04094	NP_004637.1	LYN	01301	NP_002341.1	in vivo	12846735
DLG4	04199	NP_001356.1	LYN	01301	NP_002341.1	in vivo	9892651
BCAR1	04248	NP_055382.2	LYN	01301	NP_002341.1	in vitro;in vivo	9581808
UNC119	04927	NP_005139.1	LYN	01301	NP_002341.1	in vitro;in vivo	12496276
TRAT1	05392	NP_057472.2	LYN	01301	NP_002341.1	in vitro	9687533
SKAP1	05396	NP_003717.3	LYN	01301	NP_002341.1	in vitro	9195899
SKAP2	05558	NP_003921.2	LYN	01301	NP_002341.1	in vivo	9837776
LYN	01301	NP_002341.1	TRPV4	05667	NP_067638.3	in vitro;in vivo	12538589
PAG1	05772	NP_060910.3	LYN	01301	NP_002341.1	in vitro	10790433
NCR3	11384	NP_667341.1	CD59	00117	NP_000602.1	in vitro;in vivo	14635045
GAB2	05866	NP_036428.1	LYN	01301	NP_002341.1	in vivo	11971018
PRAM1	05926	NP_115528.3	LYN	01301	NP_002341.1	in vivo	11301322
GAB3	06571	NP_001075042.1	LYN	01301	NP_002341.1	in vitro	11739737
PPP1R15A	06572	NP_055145.3	LYN	01301	NP_002341.1	in vitro;in vivo;yeast 2-hybrid	11517336
LYN	01301	NP_002341.1	FCGR2B	06849	NP_003992.3	in vitro	8756631
INPP5D	09033	NP_001017915.1	LYN	01301	NP_002341.1	in vitro;in vivo	12882960
CBLC	09765	NP_036248.3	LYN	01301	NP_002341.1	in vitro	10362357
BANK1	09819	NP_060405.4	LYN	01301	NP_002341.1	in vitro;in vivo	11782428
GP6	10406	BAB12247.1	LYN	01301	NP_002341.1	in vitro;in vivo	11943772,1715582
EVL	10942	NP_057421.1	LYN	01301	NP_002341.1	in vitro	10945997
GRB2	00150	NP_002077.1	CD72	00118	NP_001773.1	in vitro	10820378
NEDD9	11888	NP_006394.1	LYN	01301	NP_002341.1	in vivo	9020138
CHST15	12203	NP_056976.2	LYN	01301	NP_002341.1	in vivo	10749872
SH2B2	16097	NP_066189.3	LYN	01301	NP_002341.1	in vitro	10872802
DOK3	16834	NP_079148.2	LYN	01301	NP_002341.1	in vitro	10733577
JUN	01302	NP_002219.1	JUN	01302	NP_002219.1	in vitro;in vivo	12080089,1631061,11278640,16511568
SPI1	01305	NP_001074016.1	JUN	01302	NP_002219.1	in vivo	12091339
POU1F1	01409	NP_001116229.1	JUN	01302	NP_002219.1	in vitro	8663380
MAF	01518	NP_005351.2	JUN	01302	NP_002219.1	in vitro;in vivo	8108109
RB1	01574	NP_000312.2	JUN	01302	NP_002219.1	in vitro;in vivo	10026157,9545246
NR5A1	01702	NP_004950.2	JUN	01302	NP_002219.1	in vitro	10478848
CD5	01078	NP_055022.2	CD72	00118	NP_001773.1	in vitro;in vivo	1711157,8806810
NFYA	01793	NP_002496.1	JUN	01302	NP_002219.1	in vivo	11903046
SP1	01796	NP_612482.2	JUN	01302	NP_002219.1	in vitro;in vivo	10506225
GTF2F2	01804	NP_004119.1	JUN	01302	NP_002219.1	in vitro;in vivo	8628277
ABL1	01809	NP_009297.2	JUN	01302	NP_002219.1	in vitro;in vivo	10637231
TPM1	01839	NP_000357.3	JUN	01302	NP_002219.1	in vivo;yeast 2-hybrid	1631061
HCFC1	02061	NP_005325.2	JUN	01302	NP_002219.1	in vitro	1448082
TAF1	02436	NP_004597.2	JUN	01302	NP_002219.1	in vitro	11316804
AR	02437	NP_000035.2	JUN	01302	NP_002219.1	in vitro;in vivo;yeast 2-hybrid	9211894,8798722
TBP	02511	NP_003185.1	JUN	01302	NP_002219.1	in vitro	7848298,16055710
CREBBP	02534	NP_004371.2	JUN	01302	NP_002219.1	in vitro;in vivo	9786917,2138276,16055710
PTPN6	01475	NP_536859.1	CD72	00118	NP_001773.1	in vitro;in vivo	9590210,9740800,15588985
RUNX2	02566	NP_001019801.3	JUN	01302	NP_002219.1	in vitro;in vivo;yeast 2-hybrid	11641401,11274169
STAT1	02777	NP_009330.1	JUN	01302	NP_002219.1	in vivo	10490649
STAT4	02779	NP_003142.1	JUN	01302	NP_002219.1	in vivo	11801649
HMGA1	02829	NP_665906.1	JUN	01302	NP_002219.1	in vitro	10357819
PRKDC	02941	NP_008835.5	JUN	01302	NP_002219.1	in vitro	8464713
SMAD4	02995	NP_005350.1	JUN	01302	NP_002219.1	in vitro	10220381
PIN1	03031	NP_006212.1	JUN	01302	NP_002219.1	in vitro;in vivo	11432833
MAPK8	03100	NP_620637.1	JUN	01302	NP_002219.1	in vitro;in vivo	8137421,15302935,8654373,8224842,16291755
NACA	03137	NP_001106674.1	JUN	01302	NP_002219.1	in vitro;in vivo	9488446
SMAD2	03221	NP_005892.1	JUN	01302	NP_002219.1	in vitro;in vivo	11371641,10220381
SEMA4D	03520	NP_006369.3	CD72	00118	NP_001773.1	in vitro;in vivo	11114375,12882840
TDG	03251	NP_003202.3	JUN	01302	NP_002219.1	in vivo;yeast 2-hybrid	1631061
FOSL2	03343	NP_005244.1	JUN	01302	NP_002219.1	in vivo	11708771
SMARCD1	03438	NP_003067.3	JUN	01302	NP_002219.1	in vitro	11053448
